"","network_name","observed_lcc_size","mean_lcc_size","sd_lcc","z_score","p_value"
"25","coex_PNC",3,1.296,0.509139943749803,3.34682049781851,0.00040872062033559
"37","HP",17,3.93533333333333,1.98068177380455,6.59604528069732,2.11135553485065e-11
"38","MP",5,1.25,0.496317325164226,7.55565000427733,2.08721928629529e-14
"60","ppi_skeletal muscle",5,1.42066666666667,0.795064551246834,4.50194053768359,3.36679112578064e-06
"66","reactome_copathway_clean",4,1.46666666666667,0.668221446944792,3.79115837259656,7.49731483834504e-05
