node_id	module_merged	node_name
8891	1	TP53I11
9330	1	RUNDC1
9628	1	ANKRD27
10050	1	CFAP47
11464	1	SMIM4
12342	1	ZCCHC3
12661	1	GAL3ST4
13202	1	IQGAP3
13268	1	ESR2
13354	1	TSPYL5
14001	1	INTS9
14040	1	TADA1
31	1	THAP9
232	1	MTRF1L
679	1	MRPS28
942	1	FMC1
1720	1	MRPS18C
1766	1	ERAL1
2182	1	MRPS6
2229	1	MRPL50
3500	1	MRM1
3582	1	TEFM
3664	1	SSBP1
4445	1	COQ5
4928	1	MRPL49
5299	1	MRPL18
5670	1	TMEM177
6212	1	GUF1
6625	1	MTRF1
7106	1	GADD45GIP1
7502	1	NGRN
7577	1	MRPS18B
7630	1	KLRG1
8386	1	PRORP
8516	1	MRPL9
8974	1	TBRG4
9339	1	TRMT61B
10020	1	GATB
10181	1	MRPL45
11330	1	NDUFA7
11935	1	MRPL35
12620	1	RTN4IP1
13443	1	MRPL23
13929	1	C17orf80
14940	1	QRSL1
15214	1	MRPS18A
510	1	FAM168B
954	1	RBFOX1
2158	1	PITX1
2500	1	AOC1
2638	1	ZNF503
2691	1	PPIL1
2700	1	DTX2
4129	1	MSS51
5810	1	RBPMS
6566	1	C19orf54
6635	1	VGLL3
6749	1	KRTAP8-1
6858	1	OXER1
7104	1	SPATA46
8148	1	SLC22A18AS
8158	1	ZNF34
8422	1	ARID5A
9107	1	DAZAP2
9137	1	MYOZ3
9164	1	C11orf16
9307	1	STH
9516	1	KLK6
10048	1	FOXH1
10139	1	LENG8
10445	1	NHLRC4
10687	1	RUSC1
11601	1	PRR22
11896	1	RNF208
11929	1	FAM83A
12483	1	LASP1
12723	1	DAB1
13390	1	SPAG8
13392	1	FAM168A
13670	1	KRTAP7-1
15216	1	PRR35
105	1	DTWD2
1730	1	SKA3
2205	1	TTC4
7341	1	OBI1
8623	1	PARS2
9382	1	TANGO6
10536	1	ANKRD54
10874	1	EGLN3
13003	1	UBE2S
13532	1	IFTAP
1076	1	TEPSIN
1479	1	INTS1
1608	1	P4HTM
1862	1	OGFOD3
2626	1	RRNAD1
3177	1	PLEKHJ1
3653	1	SLC66A2
3697	1	SSH3
3804	1	NUBP2
3970	1	TPRA1
5195	1	DGKQ
5331	1	SIRT7
5388	1	GIGYF1
5413	1	FAM98C
6684	1	LRWD1
8606	1	DPP7
10310	1	MOB2
11592	1	PPP1R12C
12508	1	DPH1
12690	1	LLGL2
253	1	SLC40A1
672	1	UBR7
2359	1	RRM1
7393	1	RNF20
8648	1	PLPBP
10124	1	TPRG1L
10207	1	IPP
10318	1	CREG1
10903	1	FBXL5
11029	1	KAT14
11326	1	HEBP1
11337	1	RAB4A
12471	1	C11orf74
12731	1	MANSC1
12801	1	NT5DC1
12881	1	ABRAXAS1
13066	1	TOM1L1
14726	1	SNX7
1804	1	E2F8
2394	1	LNX1
2511	1	PRR5L
2819	1	HSF2BP
2972	1	IHO1
4066	1	GAS2L2
4086	1	ZBTB2
4589	1	MSANTD4
5850	1	HEXIM2
6529	1	PABIR1
7113	1	PRR34
7289	1	ZCCHC10
7302	1	FHL3
7510	1	LUZP4
8758	1	ZBTB49
8912	1	C9orf116
11089	1	CNNM1
12811	1	TFCP2
13545	1	TCEA2
13952	1	ARHGAP6
14183	1	PAAT
14446	1	FAM118A
15102	1	ZBTB8A
326	1	GABPB1
2303	1	NTAQ1
2449	1	RPF1
2602	1	ANKRD39
3156	1	ELAPOR1
3474	1	FAM185A
3875	1	CYB5R2
4138	1	TCP10L
5026	1	MMTAG2
5478	1	TRIM63
6608	1	NR1D2
6911	1	TBC1D21
7018	1	BEND5
7568	1	KBTBD4
7850	1	ARL6IP4
8239	1	TRIM55
8799	1	ATXN3L
9084	1	CCDC28B
9635	1	ZNF460
10062	1	GPRIN2
10540	1	IL37
10841	1	RUSC1-AS1
11454	1	APOBEC4
12045	1	CCDC34
12235	1	RNF151
12323	1	NUTM1
12382	1	KYAT1
12625	1	LRRC56
13576	1	SCARA5
13579	1	C12orf4
14101	1	LMO3
15095	1	OGFOD2
47	1	SNRNP70
61	1	ZC3H3
838	1	CD48
1309	1	LLPH
1923	1	NR2C2
3465	1	PRR11
3495	1	RRP15
5952	1	RRP1B
7362	1	DDX31
8028	1	PAK1IP1
9562	1	RBM34
10337	1	BRIX1
10487	1	PIP
11396	1	KRI1
11722	1	ZC3H18
12489	1	ZNF2
14407	1	MKI67
630	1	KRT38
724	1	AKR7A3
795	1	PHLDA1
1110	1	KRTAP4-2
1231	1	SPACA9
2174	1	LCE1E
2193	1	NOTCH2NLA
4653	1	KRTAP4-5
4699	1	KRTAP1-5
4981	1	PTGER3
5340	1	FZD10
6825	1	ADAM12
7429	1	LCE3D
7575	1	KRT79
9750	1	KRTAP10-11
9835	1	TCEANC
9965	1	KRTAP1-1
10493	1	KRT31
10506	1	BRME1
10680	1	PLEKHG4
12263	1	ZBTB9
13257	1	OTX1
13750	1	CRACR2A
13895	1	XPO4
14643	1	KRTAP13-1
994	1	ERP27
3006	1	HTT
5367	1	MAGEE1
6857	1	TMEM47
7245	1	DENND2B
10998	1	LHX6
12369	1	CDC42EP4
14507	1	SYT15
14523	1	TM6SF1
14572	1	SPINK13
621	1	IGFN1
634	1	MPPED1
1293	1	MPPED2
1943	1	SPAG5
2428	1	ITIH2
2830	1	PALMD
3173	1	DISC1
4297	1	TNIK
7884	1	AARS1
9500	1	TRIP13
13763	1	MYEOV
15135	1	NEUROD6
419	1	NCBP1
2292	1	DUSP1
7220	1	DHX57
7832	1	IGF2BP3
8714	1	LIN28A
10757	1	LARP4B
10806	1	NFX1
11427	1	CAND1
12378	1	HNRNPUL2
2298	1	KIF9
3159	1	DDI1
3740	1	PIBF1
4534	1	LCA5L
5130	1	ZBTB22
5233	1	FAM161B
5925	1	ZNF35
6112	1	FCHO1
6353	1	JAKMIP2
6688	1	ANKRD23
7692	1	ZNF436
8470	1	A1CF
8961	1	EURL
9136	1	KLHL42
9421	1	ZC2HC1C
10886	1	OIP5
10915	1	CWF19L2
11069	1	CCDC136
11176	1	EFHC2
12230	1	TFIP11
13219	1	FLYWCH1
14195	1	ATF7IP2
14603	1	CCDC13
14882	1	FSD2
1665	1	KCTD3
3411	1	LRFN1
4710	1	GIGYF2
7012	1	ZBTB21
7489	1	SH3RF3
7504	1	MAGI1
9427	1	RASAL2
10795	1	SH3PXD2A
11259	1	OSBPL6
11781	1	PPM1H
12704	1	DCLK1
12754	1	TANC2
13792	1	DENND1A
3328	1	NAF1
7812	1	GPATCH8
9747	1	EIF2D
12641	1	ATG16L1
13734	1	RAB33A
14438	1	CAMKV
2016	1	SPATA32
9390	1	STON2
10299	1	BCAR1
13613	1	KRBA2
227	1	SLC25A28
483	1	DDX51
1316	1	TMCO6
1737	1	METTL22
3720	1	NT5C3B
4017	1	QTRT1
5481	1	RAB11FIP3
5554	1	POU6F1
5736	1	HSBP1L1
6728	1	LTO1
7815	1	RFNG
8189	1	ZNF333
9306	1	ING5
9707	1	THAP3
13335	1	ANKMY1
13689	1	TSNARE1
13771	1	ATG4D
14891	1	FAM3A
1595	1	PRKN
10606	1	HK2
318	1	APP
327	1	GPR78
450	1	LSMEM1
1245	1	SPX
3469	1	FITM1
3536	1	PURG
4239	1	SPINK6
4462	1	LETM2
8367	1	ETNPPL
8918	1	NNAT
9666	1	NIM1K
11186	1	GNRH2
13105	1	LSMEM2
13710	1	MAP6D1
2566	1	EML3
2667	1	MRPL28
4097	1	CCKBR
5269	1	SCAF1
6605	1	TRIM11
7736	1	PPP1R9B
7791	1	UBTF
8008	1	PYGO2
8088	1	SCAMP4
8875	1	PRRC2A
8941	1	CTTN
10053	1	PLEKHM2
10986	1	TANGO2
14337	1	CCKAR
14488	1	SMPD4
2176	1	PPIP5K2
2860	1	C2orf69
5684	1	CCDC25
6629	1	COX18
7757	1	RWDD4
8353	1	LRRC58
8834	1	EIF4E3
10403	1	TPMT
10654	1	UMAD1
12396	1	ETFRF1
13639	1	RNF141
1832	1	MATR3
693	1	RGS5
2346	1	ATPSCKMT
3755	1	TMPRSS11E
3767	1	AHSA2P
5580	1	GMPR2
9185	1	LRRC52
11110	1	RPP40
12283	1	C2orf76
13303	1	MEOX2
13859	1	DIEXF
3632	1	SMIM15
3966	1	HINT3
5226	1	NAA50
5423	1	CFAP97
6233	1	ATP11B
6614	1	CDC42SE2
6994	1	LYPLA1
7212	1	MAL2
7325	1	ZNRF2
7708	1	TLK1
9235	1	PRELID3B
11377	1	TMEM123
12847	1	KTN1
8430	1	FBXL14
9585	1	SNAI1
1075	1	ANP32E
2707	1	SP3
4337	1	USP6NL
4459	1	RYBP
4563	1	MTPN
4730	1	PICALM
5006	1	C5orf15
5139	1	EHBP1
5636	1	ZFAND6
10190	1	ITLN1
10331	1	SEPTIN10
11452	1	SAMD8
13270	1	OSGIN2
53	1	TADA2A
1264	1	MED26
3467	1	NCAPG
4402	1	MED4
8435	1	MED6
10378	1	MED30
10611	1	MED31
11070	1	SUPT3H
11700	1	RPAP2
11891	1	MED20
12145	1	MED27
962	1	LRRK2
1255	1	TMEM40
2475	1	DSC3
2531	1	CDK15
5557	1	POC5
8469	1	PRMT3
11263	1	CALML5
11637	1	EPS8L1
11830	1	CRABP2
12791	1	WDR91
13026	1	SBSN
10586	1	MSH2
8344	1	RIPK4
140	1	ADAM20
1265	1	FAM78A
2104	1	VIRMA
2688	1	NEMP2
5229	1	GPR157
11441	1	PASD1
6763	1	POLD1
4331	1	S100A14
5488	1	NEDD4
14796	1	TTYH2
15128	1	TNFRSF18
3354	1	TBX10
5723	1	AURKA
1205	1	FNDC3A
1903	1	ABCE1
2112	1	CARNMT1
2352	1	ZNF770
7247	1	AASDHPPT
12345	1	UGT8
13276	1	HOOK1
65	1	PANK3
4395	1	PTBP3
5430	1	NFE2L2
9504	1	PLEKHA1
12356	1	RNF11
13015	1	RAI14
14269	1	PITPNB
2153	1	CRACR2B
5775	1	LSG1
7944	1	PLGRKT
9513	1	FKBP8
10389	1	CDCA3
11280	1	TIMM29
12771	1	MTX3
12846	1	IMMP1L
748	1	WDCP
4271	1	NLK
5562	1	YTHDF2
6422	1	SMG7
6881	1	CEP97
10162	1	CNOT2
11689	1	GARRE1
12793	1	FAM120C
13930	1	CEP85
14946	1	MEX3A
901	1	ZNF136
3504	1	HHLA3
4666	1	ZNF138
5325	1	ZNF786
6545	1	ZNF266
7746	1	NIBAN3
9668	1	MDFI
10256	1	ZNF79
13104	1	ADAMTSL3
2134	1	PTPMT1
2634	1	SLC25A51
3453	1	DPF3
5282	1	SLC2A12
6486	1	AGMAT
8096	1	CSE1L
9853	1	ACP3
11862	1	XPOT
4455	1	ZMAT5
5512	1	TRIM41
9859	1	ZNF71
11361	1	BYSL
13591	1	ZFP2
4938	1	P2RY6
10364	1	QTRT2
8683	1	KHDRBS3
10801	1	L1TD1
4768	1	PLBD2
8122	1	ARHGAP44
12503	1	HNRNPL
12808	1	PTPRR
13225	1	ZNF385B
13793	1	BOLA2B
396	1	LSM2
2948	1	GEMIN8
3128	1	GEMIN2
4258	1	GEMIN7
9575	1	DDX20
9675	1	GEMIN6
10839	1	NUFIP1
14421	1	GEMIN4
9058	1	YAP1
4548	1	RNF31
6018	1	PACRG
2129	1	GREB1L
2649	1	ABCA7
4118	1	SPINK4
4740	1	DIPK1A
5726	1	LYPD4
5841	1	DEXI
6103	1	BORA
6271	1	MOCS3
6341	1	ITPRIPL1
6580	1	MICA
6868	1	FBXL18
10051	1	ZNF286A
10388	1	SGTB
12094	1	HSPA6
12795	1	ABCG4
12947	1	DEFA5
1945	1	SSX2IP
2404	1	CKAP2
5499	1	FBF1
10408	1	GPATCH1
1037	1	TMEM201
4716	1	SETD1A
5292	1	SHKBP1
8482	1	SLC25A11
13085	1	TSSC4
13454	1	TMEM250
15114	1	COMMD5
1679	1	AMOTL1
2855	1	LONP2
4140	1	MYOM3
5264	1	PATJ
13717	1	AMOT
885	1	NSUN5
3338	1	GAK
4279	1	TRIM39
5715	1	ACTR1B
12243	1	KMT2B
14687	1	NT5C
5940	1	DUSP9
6695	1	NUDT10
9525	1	CDKL3
10199	1	ASB2
11296	1	SYT12
13235	1	HNRNPH1
2882	1	DLX1
4003	1	ACTG1
1552	1	PRKAA2
4203	1	STAC2
5518	1	MXRA5
3172	1	ZNF490
7202	1	FUOM
11119	1	EEF1A2
13206	1	WDR53
15097	1	BTNL3
9526	1	EMD
2687	1	MIB1
11993	1	GYG1
13197	1	XPC
2012	1	SRRD
4913	1	SPACA4
9762	1	ZBTB33
11800	1	FAM120A
12464	1	NIFK
14997	1	SMARCC1
2942	1	EIF3A
3685	1	PDCD4
3915	1	PRPS2
6957	1	SH3BP4
8042	1	TP53INP1
11724	1	TMPRSS2
13713	1	RASEF
14884	1	PAIP2B
3185	1	RPTOR
13165	1	DEPTOR
5824	1	HOXC11
14138	1	CD2AP
5458	1	TRIM54
6863	1	SPRING1
10881	1	PABPC3
2781	1	CCAR2
7559	1	DYM
6387	1	KBTBD11
10741	1	CUL3
3835	1	DCUN1D1
6098	1	KRT77
13333	1	CDIP1
14273	1	USP9X
1193	1	HSP90AB1
12237	1	MECOM
6482	1	ACACA
1531	1	CHD1L
1868	1	EME1
10042	1	VPS72
10070	1	KLK5
11486	1	YEATS4
13911	1	MYCL
14938	1	CUSTOS
1051	1	RBM24
1319	1	TFRC
4089	1	CALML3
6077	1	STYXL1
7467	1	C1orf116
8939	1	PPL
9989	1	TIFAB
10664	1	RBM38
13993	1	FBXO27
4478	1	FBXL3
9596	1	U2AF1L4
4993	1	CFAP92
11941	1	CRY1
12269	1	ANKFN1
2940	1	FBXL21
3809	1	SYT10
3902	1	MTNR1A
7646	1	OPN5
10711	1	NGB
5995	1	GALNT11
12112	1	LGR4
15037	1	PDCD1
3764	1	ADGRF3
7486	1	CEACAM19
7585	1	CMTM8
8269	1	SLCO5A1
8874	1	TRIM25
11000	1	ANKRD33B
2507	1	CPNE3
4766	1	CD164
5536	1	SYPL1
5744	1	CPD
12251	1	TMEM184C
5300	1	GFER
6839	1	TOP1MT
7415	1	THEM5
422	1	TRIM7
1208	1	HSF2
4725	1	SYNRG
6975	1	CALCR
7373	1	HUS1B
7453	1	MLF1
10289	1	RASL10B
11776	1	MLF2
13236	1	NAA35
14308	1	PSME3IP1
3359	1	GLUD2
4117	1	DNM3
5018	1	SH3GL3
5834	1	RAPH1
7364	1	HRH1
12096	1	COPS3
3927	1	S100A9
4809	1	MYLIP
12261	1	USP2
2915	1	NEDD4L
7745	1	ZC3HAV1L
12480	1	RASL11B
10997	1	DPM1
73	1	PPEF1
1869	1	CISD3
11261	1	TIMM50
916	1	DYNLT2B
1472	1	NEUROD2
4609	1	DYNC2I1
6013	1	AGRP
7868	1	TK1
8167	1	DYNC2I2
10743	1	DUS2
14593	1	CCNJL
7448	1	MMADHC
13881	1	PUS1
9439	1	CDC73
7598	1	CDC34
2440	1	nef
2686	1	vif
5040	1	vpu
5548	1	gag-pol
7761	1	PPIA
8966	1	rev
9706	1	env
13033	1	gag
14334	1	PSIP1
14588	1	vpr
491	1	ZSCAN20
2222	1	ZNF397
3225	1	ZSCAN32
4518	1	ZSCAN21
5477	1	ZKSCAN8
8542	1	ZKSCAN4
8570	1	ZNF449
9082	1	ZNF24
9454	1	ZNF396
9856	1	ZSCAN22
12572	1	ZNF197
13355	1	ZNF174
14752	1	ZNF232
881	1	L3MBTL3
3433	1	C7orf50
4270	1	SP100
6808	1	SAMD13
9236	1	ARID3A
2919	1	CYLD
1813	1	ABCB7
134	1	OBSL1
3050	1	GCHFR
9433	1	SEMA5B
9607	1	CFAP70
2815	1	DCTN4
575	1	CCDC117
4209	1	METTL21C
7000	1	HSPA1L
13810	1	PTPN7
1018	1	TAMM41
5237	1	FOXN2
10202	1	C16orf87
10417	1	MAGEA12
11506	1	FASTKD3
12698	1	SLAMF1
12973	1	BMP7
14002	1	LAMP3
850	1	CCDC110
1274	1	CDCA7L
2183	1	ZNF438
3334	1	TNNI1
4764	1	ESRRG
7073	1	EIF1AD
3115	1	UNC5C
4438	1	P2RY2
6495	1	TAS2R14
13971	1	APEX1
10175	1	COPS5
6380	1	ATPAF2
10775	1	DNLZ
11795	1	MAD2L2
13006	1	COPS2
1966	1	PGAM5
2768	1	AADAT
5072	1	GALNT2
8033	1	ASB3
12672	1	ASB14
13091	1	CHCHD4
10824	1	PER1
13866	1	CRY2
13815	1	UBE2I
12463	1	E2F3
2501	1	RTN3
3830	1	TCEAL8
8270	1	CLCN3
14120	1	SETD3
9638	1	STIL
5571	1	ECSIT
6711	1	ELAVL1
13222	1	TCIM
14047	1	PRRG1
14996	1	KIF1B
8177	1	EIF4H
15172	1	IQGAP1
4255	1	EIF2S1
8246	1	HMGCS2
11474	1	YWHAQ
11845	1	PDE4DIP
548	1	NCOA4
4947	1	ZNF512
6128	1	RRP7A
14402	1	NOL6
14907	1	NAP1L5
13373	1	STXBP2
3022	1	LBHD1
7654	1	TP53TG5
8288	1	DYRK1B
13444	1	FNTB
13787	1	DCAF7
14437	1	TROAP
15070	1	CEFIP
788	1	CCDC57
4365	1	ZNF552
6709	1	EMILIN3
7279	1	MT1E
1971	1	CHMP3
6983	1	BZW1
10673	1	DHX29
12010	1	TMEM9B
6669	1	TRIM33
2477	1	POLA2
2498	1	PADI2
2689	1	PADI1
5817	1	FLG2
13027	1	ZUP1
12450	1	ANKS6
13974	1	PRKDC
120	1	CDK4
3264	1	RNF103
5838	1	IRS4
7307	1	KATNIP
366	1	ZNF626
3009	1	ID3
3766	1	MYOG
5243	1	PAX5
6114	1	ID4
7395	1	IL36A
10966	1	ZNF180
12273	1	CIB3
14235	1	ZCCHC14
117	1	IGDCC4
2824	1	ATP8B4
3446	1	PRTG
3723	1	NETO2
5354	1	TMEM30B
9865	1	TMEM168
11976	1	TRMT6
14680	1	TMEM30A
14723	1	ATP8A1
966	1	WNK1
2080	1	SLC44A1
426	1	MYH13
531	1	YAF2
6589	1	MARK1
2326	1	THAP4
6799	1	ZNF282
10780	1	TMCO4
14842	1	RAB25
8471	1	UBE2O
3249	1	AHCY
890	1	ZNF541
6391	1	PRKD2
7795	1	LIMD1
10221	1	GML
11908	1	PHYHIP
13861	1	TRIP6
4382	1	NR3C1
11237	1	CAPZA2
2986	1	PAN3
10049	1	PCBD2
13294	1	NEK3
14035	1	VPS29
15147	1	SRSF11
710	1	HSPA9
7544	1	PRPF19
11294	1	PTPN2
6411	1	CCT5
3868	1	KSR1
3891	1	WASF2
9453	1	MAVS
1603	1	CCNC
10660	1	VAC14
4344	1	PABPC1
5552	1	SHQ1
11161	1	PLAA
14735	1	MRPS9
290	1	AP2B1
13979	1	CCM2
374	1	LRP1B
405	1	SLC22A8
6726	1	INHA
8173	1	EGFL6
9202	1	ZNF169
10916	1	FST
11045	1	HSPA5
11128	1	FBLN7
13083	1	ADAM21
11450	1	BZW2
11146	1	PXN
185	1	MPG
11621	1	NRIP1
2275	1	ALDH4A1
5663	1	PTRHD1
12194	1	FABP3
1258	1	AP3S1
11158	1	LTA4H
15069	1	NSF
15139	1	SBDS
16	1	GFOD2
4619	1	CACYBP
7072	1	RNF41
14794	1	POGK
9060	1	ACTR3
11039	1	ZIC1
9629	1	TANK
663	1	PRKD1
900	1	PPP1R14A
6618	1	GCAT
2024	1	POLR1F
6055	1	ZNF23
12892	1	BRD4
15075	1	TSC1
3397	1	BCL11A
4613	1	CTBP2
4989	1	GPRIN3
8853	1	PARD6B
3325	1	CS
9241	1	ARCN1
98	1	S100A3
3725	1	CEP20
6869	1	RAB11B
7320	1	CEP43
8317	1	S100A1
14114	1	ZMAT4
14568	1	CALHM4
4821	1	USP39
