# Graph Type: undirected
KLHL12	LNX1
NADK	NUDT18
NUDT18	KCTD13
KRT6A	CCDC85B
COL8A1	KLHL12
EWSR1	CD177
ZNRD2	TRAPPC6A
SORBS2	YWHAE
TRIP13	LNX1
MAGEA11	ARHGAP29
KRT19	DEPP1
ENKD1	PDLIM7
SSBP4	IL36RN
ZNRD2	IL16
CCDC85B	CCDC120
FBF1	ACCS
BORCS5	PUF60
MAGEA11	DIEXF
MAGEA11	EWSR1
LNX1	TIFA
TRIP13	DTX2
ZC3H12A	TANK
LNX1	RABAC1
PSME3	NUDT18
LMO2	MAPRE3
DPPA2	DPPA2
KRT19	EXOC8
IFFO1	RNF183
PCBD1	LNX1
EWSR1	RAB37
EFEMP2	LINGO1
S100A1	S100A1
NOL3	VASP
DVL2	DDI1
ZBTB25	KXD1
MAGEA11	ZBTB16
CETP	EWSR1
SGTA	NME3
PRDX3	MAGEA11
ZCCHC12	APPBP2
ZNF24	ZNF446
ZNRD2	ZNRD2
CCDC85B	CCDC116
MEOX2	SAMM50
ZNRD2	CCT3
LNX1	NAGK
RARA	RXRB
KRT19	ZNF638
STX11	KXD1
EFEMP2	FAM124B
SMAD9	SMAD4
CRK	DPPA4
SEC24D	SEC23B
LNX1	KCTD13
ZBED1	NUDT18
AIMP2	LNX1
ZNRD2	VTA1
CLEC1B	NINL
DPPA2	VTA1
LNX1	APIP
ZNF446	ZNF232
DTX2	UBE2D4
RNF183	KXD1
LNX1	DDX17
PRC1	TRIM37
NOL3	NIF3L1
TRIM23	LNX1
MAGEA11	TMEM123
MAGEA11	BEX2
NUDT18	RABAC1
HPCAL1	DTX2
KIFBP	PLEKHF1
DPPA2	AP2M1
MAGEA11	TCF25
MBIP	EPB41L3
SAT1	LNX1
NUDT18	EVI5L
STAT5A	MAGEA12
NUDT18	RWDD1
ZNF446	SUFU
NCALD	DTX2
MAGEA11	PNKP
SGTB	RAI2
E2F6	TFDP1
SORBS3	ZBTB25
LNX1	TSC22D4
ELAVL4	EWSR1
STAC3	STAC3
MAGEA11	LAS2
SEC13	SEC16B
ZCCHC10	STAC3
CKS2	TSC22D4
CALCOCO2	PCGF1
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MLLT3	APPBP2
EFEMP2	COL8A1
DCTD	NUDT18
CREB3	MALL
TP53RK	TPRKB
SSBP2	IL36RN
PLSCR1	CDC42EP1
S100A1	NIF3L1
FAM107A	HOOK2
TULP2	MEOX2
EYA2	RBPMS
ACTN1	MAGEA11
CALCOCO2	ENKD1
KDM8	PCYT2
ZC3H12A	AHSP
DPPA2	ZCCHC10
MAGOHB	AMOTL2
GJA5	AAR2
CCDC85B	ENKD1
DVL2	ENKD1
PPP3CA	C16orf74
FAM107A	BEGAIN
MAGEA11	NSUN4
DPPA4	DPPA2
AKIRIN2	LNX1
LNX1	KXD1
U2AF2	DPPA2
TRIM27	MAGEA11
PSMD4	RASSF8
NUDT18	HSD17B14
CAVIN2	PLEKHF2
MAGEA11	SH2D4A
ZNRD2	CCT5
TEAD3	WWTR1
RNF40	NCBP1
CBY2	TUBGCP4
TRIM37	NUDT18
MAGEA11	CCDC14
NEU4	RBPMS
MAGEA11	TCEA2
DPPA2	DVL3
SGTA	SYT4
LNX1	DVL3
PAICS	NUDT18
SP100	SUMO1
CHTF8	EIF4EBP1
FBP1	RNF183
USP2	BEGAIN
LNX1	EHMT2
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
YIPF4	YIPF3
EWSR1	TRPV5
APPBP2	PCSK5
FANCG	KRT19
PAICS	LNX1
MAGEA11	SNX7
AP2B1	TENT5C
FAM107A	CCDC85B
HIF1AN	INVS
ZSCAN9	ZNF446
CCDC85B	ZC2HC1C
TSC22D3	HPCAL4
PRC1	CCDC85B
GLUL	NUDT18
CDCA3	CTDSP1
CCDC85B	PIDD1
MAGEA11	WTAP
HGS	TADA2A
RBPMS	ENKD1
FXR2	DPPA2
STAT5A	PRTFDC1
HOOK2	UTP14A
FBP1	LNX1
FAM107A	NINL
NUDT18	CUTC
MAGEA11	ZNF655
BEGAIN	ENKD1
NOL3	ETNK2
TRIP13	PLK3
STX11	STX11
CCDC85B	FAM124B
ZNRD2	FXR2
HPRT1	PRTFDC1
MAGEA11	MED28
FAM107A	CALCOCO2
FAM107A	KRT19
CBY2	CEP44
PLOD3	DPPA2
CBY2	CBY2
DAZAP2	CCDC120
NME1	NME3
TADA2A	TADA3
S100A2	S100A2
AP2B1	AP1M2
E2F6	TFDP2
SNAP23	STX11
EIF4E	EIF4EBP1
EPS8	BAIAP2
BHMT	BHMT
FANCG	FANCA
S100A1	S100A4
MAGOHB	RBM8A
LNX1	ZBTB8A
PLAU	SERPINE1
PLAU	SERPINE2
BCL2	BID
BCL2	PMAIP1
BID	BCL2L1
BCL2L1	PMAIP1
BID	BCL2L2
MCL1	BMF
BID	MCL1
MCL1	PMAIP1
MYC	DNMT3A
BCL2	ITPR1
CCK	CCKBR
MIS12	DSN1
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
MTOR	RPTOR
FKBP1A	RPTOR
MMP14	LUM
GIPC1	MYO6
GSK3B	GEMIN4
GEMIN4	RNPS1
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
GEMIN4	NFKBIL1
SMYD2	EPB41L3
DOK2	PSMD10
MRPS22	NFKBIL1
YWHAG	EPB41L3
ARRB2	NOLC1
PPM1B	RASGRP1
YWHAG	OSBPL3
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
EIF4EBP1	UBAC1
TNFAIP8	PTP4A2
ARRB2	TCOF1
YWHAB	EPB41L3
ARRB2	DDX27
PTP4A2	CNNM4
EPPK1	TRAF6
AP3B1	ARRB2
RFXANK	NFKBIL1
PMVK	CENPH
RAB11A	RAB11FIP1
EPPK1	ARF6
YWHAG	MARK2
ZNRD2	DOK2
YWHAZ	EPB41L3
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
EPPK1	TSC22D1
FABP4	OSTF1
CD2BP2	USP39
GIPC1	GEMIN4
LUC7L	NFKBIL1
PTP4A3	FANCI
TNFAIP8	PTP4A1
GH1	LTA4H
KPNA4	ARRB2
YWHAQ	EPB41L3
CASP4	SMC3
DOK2	RAB10
RAD51	TIMM13
PNN	NFKBIL1
RAB25	PKIG
BRIX1	LYAR
S100A9	TAGLN
PFAS	VHL
BAG2	MLF2
ZNRD2	RUVBL2
STK16	EBLN2
YWHAB	DENND4A
TUSC2	EBLN2
YWHAQ	UNC79
DOK2	ASF1B
MRPS34	NFKBIL1
NOL3	PNKP
ILK	FANCI
MRPL44	NFKBIL1
CHMP6	RAB17
YWHAQ	RAI14
GSN	CASP4
FBLN1	MPG
IQGAP2	UBAC1
GEMIN4	ILK
EBLN2	CAB39
RPL23A	PACSIN3
YWHAQ	MARK2
CDC20	CCDC59
FANCC	EBLN2
TUSC2	SGO2
ARRB2	ARRB1
TCHH	EFHD1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
IGF2BP3	PUF60
S100A9	ASB3
PTP4A3	POLD1
NFKBIL1	MRPS18B
FSCN1	GNAS
PFAS	TFE3
PUF60	IGF2BP2
SPOP	DOK2
AP1S1	EBLN2
PFAS	MCC
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
SNAI1	ODAD4
S100A9	USF2
IGF2BP3	CNBP
NOL3	PACSIN3
BCAR3	TARS1
UNC79	SAE1
TRIP6	AFAP1L1
VHL	FSCN1
FAM107A	PPP2R2A
ARRB2	MRPL44
HNRNPL	DOCK4
AP2S1	RAB25
RASGRP1	VHL
MYO1D	ILK
MOV10	PUF60
PTP4A3	MSH2
CNBP	BRIX1
CDC20	YARS2
YWHAQ	RASGRP3
ARRB2	MRPL43
CASP4	SLC25A22
FBL	ARRB2
CASP4	SMC1A
NUAK1	S100A9
CIAO1	MCM5
PELO	FANCI
YWHAZ	RAI14
SIRT2	KRT78
ELL	SIRT2
CEP162	LXN
CXorf56	NFKBIL1
CDK2	CASP4
YWHAB	OSBPL3
ARRB2	RPL7L1
LXN	THRAP3
YWHAG	BAIAP2
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
CDK4	GEMIN4
S100A9	ILK
FANCI	GSTK1
MYO1D	PELO
ARRB2	RAB5C
CFLAR	DOK2
NEK6	FANCI
FANCI	MAGED1
CASP4	MSH6
BCAR3	IMPDH2
EIF2S3	CASP4
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
EPPK1	PHB2
PPM1A	LXN
FIBP	GEMIN4
UBE2G2	MALT1
CASP4	GCN1
CORO1A	UBE2G2
RASGRF2	EPPK1
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
CASP4	USP9X
BRIX1	CDC42BPB
FES	PSMD13
PTP4A3	GTF2I
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MAP3K8	NFKB2
MAP3K8	RELA
MARK2	MAP3K3
USP2	NFKB2
RELA	IQGAP2
TNF	TNFRSF1B
GEMIN4	BRF2
BRF2	FANCI
UFL1	CASP4
CASP4	VDAC3
S100A3	DLG3
FABP4	EXT2
GH1	STRAP
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
MYC	GEMIN4
MYC	PRPF8
MYC	MYBBP1A
MYC	EXOC4
MYC	GTF3C3
MYC	MAX
MYC	MKLN1
MYC	EFTUD2
MYC	SMARCA4
MYO1B	MYC
MYC	HNRNPC
MYC	PDS5A
LXN	PANK2
NCOA6	ASCL2
RBBP5	ASCL2
FANCC	FANCE
NCOA6	ESR2
RARA	NCOA6
BCAR1	TRIP6
BCL2	SERPINB8
FES	BCR
MYC	NMI
H2AX	RAD51
MRE11	BLM
MSH2	BLM
NBN	MRE11
MRE11	RAD50
BUB1B	HDAC1
CDC20	HDAC1
CDH1	HDAC1
CDC20	HDAC2
CDH1	HDAC2
FANCG	CDK1
NFKB1	BCL3
TP53	TFAP2A
CDH1	CTNNB1
MET	CDH1
GADD45G	PCNA
SMAD6	CTBP1
MUC1	CTNNB1
CDK1	GADD45A
BCL3	NFKB2
BCL3	RELB
RAD51	BABAM2
BRCC3	RAD51
RBM39	ESR2
TP53	EPHA3
CDH1	VCL
EZR	BID
FAS	BID
MSN	BID
BID	RHOA
ARHGDIA	BID
TNFRSF10B	BID
TNFRSF10B	FASLG
TNFRSF10B	CASP8
BID	FADD
FADD	CASP8
FASLG	BID
EZR	FASLG
FASLG	FADD
FAS	FASLG
MAPK8	FASLG
MSN	FASLG
FASLG	CASP10
FASLG	CASP8
FASLG	RHOA
FASLG	ARHGDIA
MAPK8	BID
BID	CASP10
BID	CASP8
EZR	CASP8
FAS	CASP8
MAPK8	CASP8
MSN	CASP8
CASP8	CASP10
RHOA	CASP8
ARHGDIA	CASP8
TNFRSF1A	BID
TNFRSF1A	FASLG
TNFRSF1A	CASP8
CDH1	ITGAE
MUC1	GSK3B
SMAD7	BMPR1A
LYN	MUC1
CDC20	MAD2L2
BCAR1	PTK2
PXN	BCAR1
BCAR1	TNS1
CDH1	CTNNA1
CDH1	JUP
TP53	RAD51
CDH1	CSE1L
HDAC3	CCND1
GATA4	MDC1
MDC1	HDAC8
ERBB2	MUC1
MYC	MAPK3
MYC	MAPK1
CRKL	BCAR1
CRK	BCAR1
MYC	BCL2
RAD52	RAD51
BLM	RAD51
ABL1	BCAR1
CDH1	GNA13
SORBS2	SFN
SFN	ARHGEF5
SFN	BCAR1
SFN	DTX2
SFN	IRS1
SFN	AJUBA
SFN	LSR
SFN	LMO7
SFN	MARK2
SFN	NEDD4L
SFN	OSBPL3
SFN	PKP2
PPP1R3D	SFN
SFN	RHPN2
SFN	SHROOM3
SFN	TNS4
WEE1	SFN
FANCA	FANCC
RAD51	RAD51
RAD51C	RAD51
RAD51D	RAD51
XRCC2	RAD51
JUP	MUC1
BCL3	N4BP2
BMP2	BMPR1A
CDH1	CDH1
ATM	EIF4EBP1
MRE11	ATM
MRE11	ATR
MRE11	PRKDC
POLD1	ATR
CTNNB1	LEF1
CDH15	GNA12
CDH1	GNA12
BMP7	BMPR2
ABL1	RAD51
FANCA	AKT1
FANCA	ALDOA
FANCA	SPTAN1
FANCA	ENO1
AZIN1	FANCA
TP53	TFAP2C
MSH2	ATM
RAD51	ATM
FANCA	ATP5F1B
TFAP2A	CTNNB1
FANCA	RMI1
FANCA	BLM
TCERG1	FANCA
FANCA	CDK1
CDK1	FANCC
CDC27	CDC20
GADD45G	CDKN1A
GADD45G	GADD45A
POLR2A	CTDP1
SIAH2	RBBP8
SPTBN1	EPB41L3
FANCA	DAXX
