# Graph Type: undirected
KHDRBS3	CCDC33
PRMT8	PRMT8
TRIP13	CARD14
FAM107A	VIM
HNRNPC	RBM41
CCDC85B	ZNF426
ASB9	HIF1AN
SLC35A2	MDFI
SPP1	PDLIM7
KRT19	PCM1
CRY1	MDFI
KRT15	KANSL1
KHDRBS3	LNX1
CCNK	KCNRG
REX1BD	MDFI
RGR	KIFBP
CDC42	CDC42EP1
FAM124A	NKAP
PPP1R37	BEND7
FKBP6	CCNK
DHPS	NUDT18
KRT15	TUBGCP4
MDFI	ENKD1
KCNRG	KCNRG
CCDC85B	LNX1
GNMT	NIF3L1
AQP5	MDFI
NASP	H3C7
EWSR1	C11orf16
PLSCR1	ENKD1
CDK18	CCDC85B
DHRS1	MDFI
PAFAH1B3	LNX1
TEX9	CCDC112
ARHGEF39	RBPMS
ISG15	USP18
ZBTB43	LMO3
KRT15	RCOR3
HSPB7	HSPB8
TPM1	KXD1
GSE1	NUDT18
MDFI	ZNF559
KRT15	TSG101
NUDT18	APIP
ZNF250	HOOK1
EWSR1	FAM131C
MMTAG2	THAP1
MFSD3	MDFI
CTBP2	TEAD3
CKB	ASB9
MAGOHB	HMG20A
HOMER1	ABI3
PAFAH1B3	PAFAH1B3
TRIM37	BYSL
DUSP6	MDFI
ZNRD2	CCDC33
FASTK	MDFI
USP2	CCDC85B
KLHL12	LNX1
NADK	NUDT18
ARRB1	GNMT
NCS1	DTX2
ZMYND10	TSC22D4
BEND5	CTNNBIP1
NUDT18	KCTD13
GABPB1	LMO3
NKAP	THAP1
KRT6A	CCDC85B
GNMT	NUDT18
EWSR1	CD177
MDFI	THAP7
KRT19	KRT15
ZNRD2	TRAPPC6A
SNAP29	LURAP1
SORBS2	YWHAE
PIN1	MDFI
TRAF3IP2	MDFI
TRIP13	LNX1
ILF3	MDFI
KRT19	DEPP1
USP2	KRT15
KRT15	C1orf216
ENKD1	PDLIM7
SSBP4	IL36RN
CEP70	UTP14A
RARA	RXRG
SIX1	CCDC85B
AIMP2	LMO3
CCDC85B	RBM41
ZNRD2	IL16
SIRT6	ELF5
FBF1	ACCS
KHDRBS3	NUDT18
GRN	FAM131C
LNX1	TIFA
DTNB	CCDC85B
TRIP13	DTX2
ZC3H12A	TANK
THAP1	THAP1
KRT15	ABI3
NTAQ1	MDFI
LNX1	RABAC1
PSME3	NUDT18
KXD1	ZC4H2
KRT19	EXOC8
GSTZ1	GSTZ1
PCBD1	LNX1
PRKN	TRIP13
ZNF707	MDFI
EWSR1	RAB37
ZNF426	NINL
FXR2	KCNRG
EFEMP2	LINGO1
S100A1	S100A1
NOL3	VASP
KRT6A	KRT15
U2AF2	LURAP1
PITX1	RBPMS
HOXB9	MDFI
SGTA	NME3
LMO3	KXD1
FBXW5	MDFI
ZCCHC12	APPBP2
ZNRD2	ZNRD2
LDB1	LMO3
LURAP1	BLOC1S6
ZNRD2	CCT3
LNX1	NAGK
RARA	RXRB
AP2B1	THAP1
RABL6	MDFI
KRT19	ZNF638
CCDC85B	LMO3
SMAD9	SMAD4
PHC2	LMO3
SEC24D	SEC23B
LNX1	KCTD13
ZBED1	NUDT18
DCAF8	MDFI
AIMP2	LNX1
PDE9A	PHYHIPL
ZNRD2	VTA1
MDFI	TINAGL1
CLEC1B	NINL
LNX1	APIP
DTX2	UBE2D4
SFI1	MDFI
TCL1A	H2AW
LNX1	DDX17
MAPRE2	NIF3L1
MDFI	SPG7
KRT15	WAC
NOL3	NIF3L1
ZNF136	MDFI
TRIM23	LNX1
PAFAH1B3	CHMP7
NUDT18	RABAC1
HPCAL1	DTX2
KIFBP	PLEKHF1
MDFI	METTL17
PGLS	MDFI
SAT1	LNX1
SNAPC5	BATF
DPEP1	KIFBP
NUDT18	EVI5L
STAT5A	MAGEA12
RPS15A	ELF5
NUDT18	RWDD1
NCALD	DTX2
MAPRE2	MAPRE2
E2F6	TFDP1
CEP70	ZNF426
RBPMS	TEX37
LNX1	TSC22D4
ELAVL4	EWSR1
CTH	CTH
DTNB	PRTFDC1
KRT15	TXNDC11
SIRPA	TRIM2
KHDRBS3	RBM7
MDFI	NPDC1
SEC13	SEC16B
CALCOCO2	PCGF1
ATG12	MDFI
KRT15	CALCOCO1
HGS	LURAP1
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MLLT3	APPBP2
TCL1A	CALCOCO2
DCTD	NUDT18
MDFI	TRPV6
MCM5	MDFI
NECTIN2	MDFI
EWSR1	CCDC7
CREB3	MALL
RTN3	RAB33A
AP5B1	KCNRG
TP53RK	TPRKB
SSBP2	IL36RN
PLSCR1	CDC42EP1
LRCH4	MDFI
S100A1	NIF3L1
FAM107A	HOOK2
EYA2	RBPMS
KXD1	RABGEF1
CALCOCO2	ENKD1
KDM8	PCYT2
ZC3H12A	AHSP
FUZ	CPLANE2
CALCOCO2	ZNF426
FAM160A2	REEP6
MAGOHB	AMOTL2
ZNF440	MDFI
SIGLEC5	TRIP13
LMO3	MDFI
CCDC112	LURAP1
CCDC85B	ENKD1
KRT15	RHPN1
DVL2	ENKD1
FAM107A	KRT15
DTNB	BEGAIN
ZBTB16	ENOX1
FAM107A	BEGAIN
EFEMP2	ZNF426
VSNL1	FAM131C
TAP1	MDFI
INTS11	MDFI
AKIRIN2	LNX1
LNX1	KXD1
MDFI	ZNF581
TBL3	APPBP2
NUP62	THAP1
NUDT18	HSD17B14
CNNM3	MDFI
CAVIN2	PLEKHF2
LASP1	MDFI
ZNRD2	CCT5
KRT15	LNX1
ZNF764	MDFI
TEAD3	WWTR1
RNF40	NCBP1
TRIM37	NUDT18
KRT15	NUDT18
KIF6	APPBP2
SGTA	SYT4
LNX1	DVL3
PAICS	NUDT18
SP100	SUMO1
CCNK	CDK18
CHTF8	EIF4EBP1
CEP70	ENKD1
ZBTB48	DVL3
USP2	BEGAIN
LNX1	EHMT2
TMSB4Y	EWSR1
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
ZCCHC10	THAP1
YIPF4	YIPF3
KRT15	ZNF638
CBFA2T2	MDFI
EWSR1	TRPV5
ZNF101	MDFI
HOMER1	SARG
PITX1	DVL3
KRT15	AMOTL2
FANCG	KRT19
MDFI	DNPEP
EWSR1	MDFI
KRT15	NIF3L1
PAICS	LNX1
PHF1	THAP1
AP2B1	TENT5C
FAM107A	CCDC85B
HIF1AN	INVS
KRT15	KIAA1217
HNRNPM	LMO3
CD177	KCNIP3
PHLDA1	MDFI
GLUL	NUDT18
CDCA3	CTDSP1
DTNB	HMG20A
KRT15	PSMA1
HNRNPC	LMO3
KRT15	ABI2
ABLIM1	KRT15
U2AF2	THAP1
RAB33A	RTN4
RBPMS	ENKD1
PDE9A	PDE9A
STAT5A	PRTFDC1
HOOK2	UTP14A
FBP1	LNX1
FAM107A	NINL
APPBP2	SYT11
NUDT18	CUTC
BEGAIN	ENKD1
DTNB	PPFIBP2
NOL3	ETNK2
FOSL1	CALCOCO1
TRIP13	PLK3
VPS72	MDFI
CEP63	KXD1
STRBP	THAP1
ZNRD2	FXR2
HPRT1	PRTFDC1
KRT15	PSMC5
LMO3	MBIP
FAM107A	CALCOCO2
TRIM29	JAKMIP2
FAM107A	KRT19
PLSCR1	C10orf62
KRT15	PRPH
KRT15	MAD2L1BP
WDR62	MAPK9
DVL2	THAP1
PRKCZ	PARD6A
NME1	NME3
GYG2	GYS1
S100A2	S100A2
KHDRBS3	SIAH1
BCL2L1	BIK
AP2B1	AP1M2
E2F6	TFDP2
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
GNMT	GNMT
FOSL1	JUNB
S100B	S100A1
DDIT3	BATF
S100A1	S100A4
MAGOHB	RBM8A
EIF3G	EIF3C
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
ZNF276	ZBTB8A
PLAU	SERPINE2
SDC1	LACRT
BCL2	BIK
BCL2	BID
BID	BCL2L1
BID	BCL2L2
MCL1	BMF
MCL1	BIK
BID	MCL1
MYC	DNMT3A
BCL2	ITPR1
MIS12	DSN1
ERBB3	GRB2
PIK3R2	ERBB3
ERBB3	CSK
ERBB3	SHC1
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
MTOR	RPTOR
FKBP1A	RPTOR
SYT1	SV2B
SYT1	SV2C
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
TUSC2	HSPA4L
PSTPIP1	FDFT1
MAGEB2	USP7
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
VARS1	EEF1A2
ALDH16A1	PAAF1
PSTPIP1	RPL3
CD2BP2	DDX23
YWHAB	RAI14
EEF1D	EEF1A2
ARPC2	ACTR3B
PSTPIP1	ATIC
DOK2	PSMD10
ARPC1A	ACTR3B
ARRB2	NOLC1
PPM1B	RASGRP1
DKK1	CORO1A
NELFCD	CCAR2
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
PAK4	LRRK1
ACTR2	ACTR3B
SKP1	FBXO4
ARRB2	DDX27
PYGM	PACSIN3
CAMK2D	CAMK2A
AKTIP	HOOK1
PTP4A2	CNNM4
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
KRT31	DNPEP
PSTPIP1	RPL23A
EPPK1	TRAF6
AP3B1	ARRB2
YWHAG	RABGEF1
RAB11A	RAB11FIP1
KRT85	TWF2
KRT31	TWF2
RPRM	FBXW11
EPPK1	ARF6
YWHAG	MARK2
ARPC4	ACTR3B
ZNRD2	DOK2
ARPC1B	ACTR3B
MAGEB2	RPL23A
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
HSPA4L	KRT8
CDC25B	KRT31
EPPK1	TSC22D1
FABP4	OSTF1
PTP4A3	NCAPG
CD2BP2	USP39
GIPC1	GEMIN4
LRPPRC	TNFRSF10D
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
GH1	LTA4H
MAGEB2	RPS19
KPNA4	ARRB2
PSTPIP1	RPL32
SGK1	LTF
DOK2	HSPA4L
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
CCAR2	NEK6
HSPA4L	TCEAL1
PSTPIP1	BZW1
DOK2	RAB10
RAB25	PKIG
KRT85	PLEKHB2
HNF1A	PCBD1
S100A9	TAGLN
MYH7	NTHL1
PFAS	VHL
YWHAQ	CALML5
BCAS1	DYNLL1
KRT31	STK38L
MEN1	RPRM
PSTPIP1	RPL31
ZNRD2	RUVBL2
LRRK1	RIMS1
MAGEB2	RPS14
DEGS1	PYGM
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
LRRK1	C9orf163
TUSC2	EBLN2
HNF1A	PCBD2
DOK2	ASF1B
CDK4	ACTR3B
DFFA	DFFB
RPA3	PARP3
PKIG	KPTN
KRT31	PLEKHB2
NOL3	PNKP
ILK	FANCI
CHMP6	RAB17
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
ELF3	EHF
FBLN1	MPG
ARPC5L	ACTR3B
PSTPIP1	BZW2
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
PSTPIP1	RPL35A
UBAC1	MYH2
CIAO1	CCAR2
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
YWHAQ	MARK2
FANCC	EBLN2
RAD51D	DCD
ARRB2	ARRB1
ATG12	ATG10
CASP4	DNAAF5
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
KRT31	BAK1
MTHFD2	PARP3
PTP4A3	POLD1
YWHAG	KRT31
DGKE	NUDC
FSCN1	GNAS
PFAS	TFE3
H2BC21	PARP3
PUF60	IGF2BP2
SPOP	DOK2
AP1S1	EBLN2
ARPC3	ACTR3B
ELF3	KRT31
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
RAB25	KPTN
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
S100A9	USF2
ARPC5	ACTR3B
NOL3	PACSIN3
BCAR3	TARS1
MYH10	TNFRSF10D
VHL	FSCN1
NUAK1	KRT77
DGKE	SET
FAM107A	PPP2R2A
CCAR2	WRAP73
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
TWF2	ACTR3B
PSTPIP1	RPL36
AP2S1	RAB25
RASGRP1	VHL
MYO1D	ILK
MOV10	PUF60
PTP4A3	MSH2
CNBP	BRIX1
PSTPIP1	RPL35
YWHAQ	RASGRP3
CALML5	MAGED1
PSTPIP1	RPL29
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
FBL	ARRB2
CCAR2	GSTK1
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
HSPA4L	USF2
CASP4	SMC1A
MAGEB2	RPS9
NUAK1	S100A9
YWHAG	KLC3
CIAO1	MCM5
DCD	EIF2B1
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
MAGEB2	LXN
CCAR2	MAGED1
PES1	ARRB2
SIRT2	KRT78
EBLN2	WRAP73
EIF6	RRP15
ELL	SIRT2
CCAR2	ACTR3B
DCD	CDC42BPB
PSTPIP1	RPL34
CEP162	LXN
ATG12	ATG16L1
H3C7	ASF1B
CDK2	CASP4
FBL	PASK
PSTPIP1	RPL37A
ARRB2	RPL7L1
BCAS1	RUVBL2
PDHA1	DGKE
LXN	THRAP3
TIMM50	MAGED1
YWHAQ	DENND4A
YWHAQ	PAK6
PSMB1	CASP4
BCAR3	PABPC1
CD2BP2	DCD
CDK4	GEMIN4
S100A9	ILK
ITFG2	KPTN
RUNX3	PHB2
ATP2A3	WRAP73
FANCI	GSTK1
PSMB1	PASK
MYO1D	PELO
ARRB2	RAB5C
MAGEB2	RPL28
TRIM28	TNFRSF10D
WDR5	PASK
CFLAR	DOK2
NEK6	FANCI
TIMM50	PHB2
FANCI	MAGED1
MATR3	GSTK1
NTHL1	MRM3
YWHAB	CGN
CASP4	MSH6
PSPH	PRPSAP1
VDAC1	DCD
BCAR3	IMPDH2
EIF2S3	CASP4
TSPAN7	KPTN
ZNRD2	PRMT1
BCAR3	IARS1
CASP4	CTNNBIP1
EPPK1	PHB2
PSPH	STYXL1
PPM1A	LXN
SNRPA1	HNF1A
PSPH	ASF1B
FIBP	GEMIN4
MAGEB2	RPS11
UBE2G2	MALT1
CASP4	GCN1
KPTN	AUP1
CORO1A	UBE2G2
YWHAG	DENND4A
CIRBP	LXN
PFAS	EPB41
TTC4	OBI1
CASP4	USP9X
CLASP2	LXN
HNF1A	RHPN2
YWHAB	RABGEF1
BRIX1	CDC42BPB
CRB1	PSMD13
FES	PSMD13
FAM107A	DCD
YWHAG	CGN
PIK3R1	LCP2
ITK	LCP2
NCK1	LCP2
PRKD1	HDAC5
MARK2	MAP3K3
USP2	NFKB2
RELA	IQGAP2
TNF	TNFRSF1B
KCNQ1	TRAF6
POLQ	AP2S1
GEMIN4	BRF2
BRF2	FANCI
UFL1	CASP4
CASP4	VDAC3
DLG3	CAMK2A
KRT31	DLG3
KRT85	DLG3
S100A3	DLG3
CRB1	EXT2
FABP4	EXT2
GH1	STRAP
SNRNP200	MYC
MYC	HEATR1
MYC	EEF1AKNMT
MYC	NUP205
MYC	MSH6
MYC	MCM7
MYC	POLE
MYC	FANCI
MYC	GCN1
MYC	DDX24
MYC	ARHGEF2
