# Graph Type: undirected
EFEMP2	PIDD1
ADAMTSL4	NTN4
NCKIPSD	BAIAP2
IFIT3	IFIT1
NOL3	SIRPA
AQP1	MDFI
NR1H2	MDFI
KHDRBS3	CCDC33
TRIP13	CARD14
HNRNPC	RBM41
ZNF646	NINL
CCDC85B	ZNF426
ASB9	HIF1AN
SLC35A2	MDFI
SPP1	PDLIM7
KRT19	PCM1
CRY1	MDFI
KHDRBS3	LNX1
REX1BD	MDFI
RGR	KIFBP
ZSCAN20	SCAND1
CDC42	CDC42EP1
PPP1R37	BEND7
FKBP6	CCNK
DHPS	NUDT18
MDFI	ENKD1
CCDC85B	LNX1
PLSCR1	ENKD1
PRUNE2	RCN3
DHRS1	MDFI
PAFAH1B3	LNX1
TULP2	EWSR1
ZBTB43	LMO3
CCDC85B	EZH2
TRIP13	MEAK7
HSPB7	HSPB8
TPM1	KXD1
TXNL4A	RHEBL1
GSE1	NUDT18
MDFI	ZNF559
NUDT18	APIP
ZNF580	RAD54B
MMTAG2	THAP1
CTBP2	TEAD3
ZNF646	UBE2I
CKB	ASB9
PAFAH1B3	PAFAH1B3
TRIM37	BYSL
DUSP6	MDFI
FASTK	MDFI
CDC23	RAD54B
USP2	CCDC85B
KLHL12	LNX1
MAD2L1	TSC22D4
NADK	NUDT18
ZBTB43	MCM10
NCS1	DTX2
ZMYND10	TSC22D4
BEND5	CTNNBIP1
NUDT18	KCTD13
GABPB1	LMO3
NKAP	THAP1
COL8A1	KLHL12
EWSR1	CD177
ZNF607	MDFI
MDFI	THAP7
SORBS2	YWHAE
PIN1	MDFI
ZNF205	CCDC85B
TRAF3IP2	MDFI
TRIP13	LNX1
GORASP2	RAD54B
ILF3	MDFI
KRT19	DEPP1
ENKD1	PDLIM7
CEP70	UTP14A
RARA	RXRG
AIMP2	LMO3
CCDC85B	RBM41
PSMA1	RAD54B
FBF1	ACCS
KHDRBS3	NUDT18
TEAD4	WWTR1
LNX1	TIFA
TRIP13	DTX2
ZC3H12A	TANK
THAP1	THAP1
NTAQ1	MDFI
LNX1	RABAC1
PSME3	NUDT18
LMO2	MAPRE3
KXD1	ZC4H2
KRT19	EXOC8
ZNF408	THAP1
PCBD1	LNX1
PRKN	TRIP13
RCN3	SUFU
ZNF426	NINL
EFEMP2	LINGO1
S100A1	S100A1
NOL3	VASP
ZNF205	CALCOCO2
CCDC85B	MCM10
DVL2	DDI1
AIMP2	FHL3
HOXB9	MDFI
SGTA	NME3
LMO3	KXD1
FBXW5	MDFI
ZCCHC12	APPBP2
ZNF24	ZNF446
FHL3	PAK5
LDB1	LMO3
FHL3	MED15
TEAD4	CCDC85B
LNX1	NAGK
CALCOCO2	MCM10
RARA	RXRB
AP2B1	THAP1
RABL6	MDFI
KRT19	ZNF638
CCDC85B	LMO3
CDC42EP1	FHL3
FANCG	SAMD3
SMAD9	SMAD4
PHC2	LMO3
SEC24D	SEC23B
MAP3K7CL	TAB3
LNX1	KCTD13
ZBED1	NUDT18
DCAF8	MDFI
AIMP2	LNX1
MDFI	TINAGL1
MDFI	ZNF408
GTPBP3	PARP11
LNX1	APIP
ZNF446	ZNF232
DTX2	UBE2D4
SFI1	MDFI
TCL1A	H2AW
LNX1	DDX17
MAPRE2	NIF3L1
FHL3	LNX1
MDFI	SPG7
PRC1	TRIM37
NOL3	NIF3L1
ZNF136	MDFI
TRIM23	LNX1
PAFAH1B3	CHMP7
EWSR1	SERP2
NUDT18	RABAC1
HID1	RCN3
HPCAL1	DTX2
KIFBP	PLEKHF1
MDFI	METTL17
MBIP	EPB41L3
PGLS	MDFI
ZSCAN32	ZKSCAN7
CEP70	ZNF408
SAT1	LNX1
DYRK2	RAD54B
FHL3	ADAMTSL4
SNAPC5	BATF
DPEP1	KIFBP
NUDT18	EVI5L
STAT5A	MAGEA12
NUDT18	RWDD1
ZNF446	SUFU
NCALD	DTX2
MAPRE2	MAPRE2
SGTB	RAI2
E2F6	TFDP1
CEP70	ZNF426
CSNK1E	RAD54B
LNX1	TSC22D4
FHL3	LASP1
MTUS2	ZNF655
CTH	CTH
MDFI	PIDD1
CKB	SERP2
SIRPA	TRIM2
ZNF646	MDFI
KHDRBS3	RBM7
MDFI	NPDC1
ZNF471	ZNF471
SEC13	SEC16B
CKS2	TSC22D4
CALCOCO2	PCGF1
ATG12	MDFI
ZBTB43	LNX1
CDC42EP1	MAPKAP1
MLLT3	APPBP2
EFEMP2	COL8A1
RCN3	KLHL42
CBX2	MDFI
SCAND1	ZKSCAN7
TCL1A	CALCOCO2
DCTD	NUDT18
MCM5	MDFI
NECTIN2	MDFI
CREB3	MALL
UBE2I	RAD54B
RTN3	RAB33A
TP53RK	TPRKB
SERPINI2	UBQLN1
PLSCR1	CDC42EP1
LRCH4	MDFI
S100A1	NIF3L1
BAALC	MDFI
CALCOCO2	ENKD1
KDM8	PCYT2
ZC3H12A	AHSP
FUZ	CPLANE2
CALCOCO2	ZNF426
FAM160A2	REEP6
ZNF440	MDFI
SIGLEC5	TRIP13
LMO3	MDFI
GJA5	AAR2
ASPA	ASPA
FHL3	TRIP6
CCDC85B	ENKD1
DVL3	ZNF408
MTUS2	C1orf216
DVL2	ENKD1
TRIM37	MCM10
ZBTB16	ENOX1
PLSCR1	HEY2
EFEMP2	ZNF426
TAP1	MDFI
DNAL4	FHL5
INTS11	MDFI
AKIRIN2	LNX1
LNX1	KXD1
MDFI	ZNF581
TBL3	APPBP2
MAPRE2	MAPRE3
PSMD4	RASSF8
NUP62	THAP1
NUDT18	HSD17B14
CNNM3	MDFI
CAVIN2	PLEKHF2
LASP1	MDFI
NMI	EMILIN1
MCM10	NINL
TRAPPC6A	RAD54B
FHL3	RBM42
ZNF764	MDFI
TEAD3	WWTR1
RNF40	NCBP1
TRIM37	NUDT18
CALCOCO2	ZNF408
LNX1	DVL3
PAICS	NUDT18
SP100	SUMO1
CHTF8	EIF4EBP1
CEP70	ENKD1
ZBTB48	DVL3
USP2	BEGAIN
LNX1	EHMT2
DUT	NUDT18
PRKAR1A	PYCARD
CCDC85B	FAM13C
YIPF4	YIPF3
CBFA2T2	MDFI
EWSR1	TRPV5
ZNF101	MDFI
APPBP2	PCSK5
RAD54B	RAD54B
MAP3K7CL	GPS2
FANCG	KRT19
MDFI	DNPEP
EWSR1	MDFI
PAICS	LNX1
PHF1	THAP1
AP2B1	TENT5C
HIF1AN	INVS
HNRNPM	LMO3
CD177	KCNIP3
ZSCAN9	ZNF446
TSC22D3	HPCAL4
PRC1	CCDC85B
PHLDA1	MDFI
GLUL	NUDT18
CDCA3	CTDSP1
CCDC85B	PIDD1
HNRNPC	LMO3
HGS	TADA2A
U2AF2	THAP1
RAB33A	RTN4
LNX1	RAD54B
RBPMS	ENKD1
STAT5A	PRTFDC1
HOOK2	UTP14A
FBP1	LNX1
APPBP2	SYT11
NUDT18	CUTC
BEGAIN	ENKD1
NOL3	ETNK2
TRIP13	PLK3
VPS72	MDFI
CEP63	KXD1
STRBP	THAP1
EWSR1	SUV39H2
HPRT1	PRTFDC1
ENOX2	ENOX1
ZNF205	MDFI
LMO3	MBIP
DVL2	THAP1
NME1	NME3
TADA2A	TADA3
GYG2	GYS1
KHDRBS3	SIAH1
AP2B1	AP1M2
E2F6	TFDP2
EIF4E	EIF4EBP1
GEMIN6	GEMIN7
EPS8	BAIAP2
BHMT	BHMT
DDIT3	BATF
FANCG	FANCA
S100A1	S100A4
MCM6	MCM10
EIF3G	EIF3C
CCND3	MCM10
ZBTB48	ZBTB8A
LMO3	ZBTB8A
LNX1	ZBTB8A
MCM10	ZBTB8A
ZNF276	ZBTB8A
ZBTB8A	ZNF408
PLAU	SERPINE1
PLAU	SERPINE2
FGF2	SDC1
FGF2	SDC2
FGF2	SDC4
BCL2	BID
BID	BCL2L1
BID	BCL2L2
MCL1	BMF
BID	MCL1
MYC	DNMT3A
BCL2	ITPR1
RB1	LIN9
MIS12	DSN1
ACAN	LUM
NSL1	DSN1
CBX3	DSN1
PMF1	DSN1
CBX5	DSN1
ZWINT	DSN1
RET	STAT3
STAT3	EPHA5
SYT1	C6orf15
SYT1	SV2C
MMP14	LUM
GIPC1	MYO6
CUL1	FBXO4
TUSC2	HSPA4L
MAGEB2	USP7
GSK3B	GEMIN4
LGALS9	CTNNB1
GEMIN4	RNPS1
ALDH16A1	PAAF1
CD2BP2	DDX23
YWHAB	RAI14
KHK	AP2S1
GEMIN4	NFKBIL1
ARPC2	ACTR3B
WDCP	RUVBL1
KRT85	CDC20
SMYD2	EPB41L3
STK16	CNTF
DOK2	PSMD10
ARPC1A	ACTR3B
MRPS22	NFKBIL1
YWHAG	EPB41L3
ARRB2	NOLC1
YWHAG	OSBPL3
EIF2D	RAD51
DKK1	CORO1A
RAD51	CAB39
ARRB1	KHK
EIF4EBP1	UBAC1
WDCP	RUVBL2
TNFAIP8	PTP4A2
CCNH	MNAT1
RNPS1	NRDE2
ARRB2	TCOF1
PAK4	LRRK1
YWHAB	EPB41L3
ACTR2	ACTR3B
CCN4	UGGT1
SKP1	FBXO4
ARRB2	DDX27
CAMK2B	CAMK2A
CAMK2D	CAMK2A
STK16	ICA1
CDC25B	KRT85
CUL1	RPRM
KRT31	DNPEP
EPPK1	TRAF6
AP3B1	ARRB2
RFXANK	NFKBIL1
RAB11A	RAB11FIP1
KRT85	TWF2
KRT31	TWF2
CNTF	ICA1
FNTB	PTP4A2
RPRM	FBXW11
EPPK1	ARF6
ARPC4	ACTR3B
CDC20	KRT31
SNRPB	KHK
ARPC1B	ACTR3B
MAGEB2	RPL23A
NUP93	PHLDA3
YWHAZ	EPB41L3
KRT85	LYAR
KPNA3	ARRB2
EPPK1	GSTK1
YWHAG	RAI14
PFAS	TRAF6
STK16	PASK
HSPA4L	KRT8
CDC25B	KRT31
EPPK1	TSC22D1
FABP4	OSTF1
CD2BP2	USP39
GIPC1	GEMIN4
LUC7L	NFKBIL1
LRPPRC	TNFRSF10D
DHX57	LYAR
PTP4A3	FANCI
CDK4	RPRM
TNFAIP8	PTP4A1
MAGEB2	RPS19
KPNA4	ARRB2
YWHAQ	EPB41L3
TGFB1I1	CCNA1
DOK2	HSPA4L
LGALS9	JUP
S100A8	LRRK1
CASP4	SMC3
MAGEB2	RPL31
HSPA4L	TCEAL1
DOK2	RAB10
RAD51	TIMM13
CNTF	EXT1
PNN	NFKBIL1
KRT85	PLEKHB2
HNF1A	PCBD1
BRIX1	LYAR
S100A9	TAGLN
MYH7	NTHL1
PFAS	VHL
KRT31	STK38L
BAG2	MLF2
MEN1	RPRM
LRRK1	RIMS1
MAGEB2	RPS14
GIPC1	NUP93
MAGEB2	RPS16
LGALS9	SLC1A5
STK16	EBLN2
YWHAB	DENND4A
CTNNBIP1	PNMA2
LRRK1	C9orf163
TUSC2	EBLN2
KRT31	LYAR
HNF1A	PCBD2
DOK2	ASF1B
STK16	HNF4A
CDK4	ACTR3B
DFFA	DFFB
LCN1	KHK
MRPS34	NFKBIL1
DEDD	KHK
KHK	LYZ
KRT31	PLEKHB2
NOL3	PNKP
ILK	FANCI
MRPL44	NFKBIL1
CHMP6	RAB17
RAD51D	RADIL
YWHAQ	RAI14
CHMP5	CAMK2A
GSN	CASP4
FBLN1	MPG
ARPC5L	ACTR3B
CDC20	KRT32
IQGAP2	UBAC1
ICA1	MKKS
GEMIN4	ILK
TIMM50	AKTIP
ASF1B	CDIN1
EBLN2	CAB39
RPL23A	PACSIN3
CNTF	VHL
CDC20	CCDC59
FANCC	EBLN2
TUSC2	SGO2
ARRB2	ARRB1
BAG2	PSMC4
ATG12	ATG10
CASP4	DNAAF5
COPG2	MAGED1
PES1	ARRB1
TIMM8A	TIMM13
S100A9	ASB3
ATIC	RADIL
KRT31	BAK1
PTP4A3	POLD1
YWHAG	KRT31
DGKE	NUDC
NFKBIL1	MRPS18B
FSCN1	GNAS
PFAS	TFE3
KCNIP4	KCNIP2
PUF60	IGF2BP2
SPOP	DOK2
AURKA	RAB10
AP1S1	EBLN2
ARPC3	ACTR3B
ELF3	KRT31
MAGEB2	RPL36
PFAS	MCC
YWHAG	KRT85
NEDD8	FBXO4
HNF4A	RAD50
PSMC3	HTR1E
SNRPB	GEMIN4
CASP4	SRPRB
DOK2	DNAJB11
E2F7	RUVBL1
S100A9	USF2
ARPC5	ACTR3B
CASP4	NUP93
NOL3	PACSIN3
BCAR3	TARS1
NUP93	PNKP
CD2BP2	RAD54B
MYH10	TNFRSF10D
TRIP6	AFAP1L1
VHL	FSCN1
NUAK1	KRT77
CASP4	MYCBPAP
DGKE	SET
S100A9	PAK5
MAD2L1	DSTYK
MYCBPAP	CDK19
ARRB2	MRPL44
PAICS	DGKE
HNRNPL	DOCK4
MAGEB2	RPL34
CCNA1	VPS18
TWF2	ACTR3B
CCNH	RADIL
MYO1D	ILK
KHK	RNPS1
MOV10	PUF60
CD2BP2	KHK
PTP4A3	MSH2
CNBP	BRIX1
CDC20	YARS2
CDK2	RADIL
HTR1E	PSMC4
KHK	CDK5RAP3
RPA3	PAK5
LYZ	LRRK1
TIMM50	PELO
ARRB2	MRPL43
CASP4	SLC25A22
KRT77	NFKBIL1
CEP135	WRAP73
FBL	ARRB2
CNTF	EIF3E
NUP93	NEK6
AURKA	CDKN2A
TSC22D1	NUP93
PFAS	TNFRSF10D
SF3B3	TNFRSF10D
HSPA4L	USF2
CASP4	SMC1A
DHX57	DDX56
MAGEB2	RPS9
NUAK1	S100A9
CIAO1	MCM5
MAGEB2	CSNK2B
PELO	FANCI
YWHAZ	RAI14
YWHAZ	RALGPS2
MAGEB2	LXN
AP2S1	PAK5
