# Graph Type: undirected
A	B
MCRS1	KXD1
DHPS	NIF3L1
DTNBP1	ABI3
DVL2	CCDC33
SNRPG	DDIT4L
CREB3	STX8
UBE2I	C18orf25
KPNA3	HNRNPC
ZNF638	WWP1
BTG1	CNOT8
CCDC85B	SMARCD1
U2AF2	SRPK2
ELOA	NINL
CCDC85B	TSPYL4
PLSCR1	SPG7
SOCS2	PTK2
GABARAPL2	TBC1D5
PLEKHF2	BLOC1S6
RCBTB2	COPS4
RBPMS	ZC3H10
GABARAPL2	SQSTM1
TRIM37	APEX2
SGTA	F11R
DDIT3	HSD17B14
MLLT6	MED15
SEC24C	SEC23B
PIN1	TSC22D4
SPG21	GGA2
NBR1	VTA1
ACTG1	CFL2
KPNA3	FAM50B
TRIM23	FLAD1
LASP1	TRIP13
KRT18	TUBGCP4
RTN3	PTPN9
KCTD13	ARMC7
AKAP17A	CCDC85B
AKIRIN2	SPG21
PYROXD1	UPRT
NTAQ1	HSD17B14
PLSCR1	LASP1
DYNLT3	DYNC1I2
CNOT3	CNOT2
TADA3	SGF29
SAE1	UBA2
ASMTL	ASMTL
LDOC1	AEBP2
COMT	TRIP13
ZBTB43	ARRB1
RUNX1T1	ABI3
BEND7	NIF3L1
CCDC33	NINL
CEP70	RCOR3
HID1	BEGAIN
XIAP	NTAQ1
SPOP	ZBTB16
TRAPPC3	TRAPPC6A
CCDC85B	TUBGCP4
CPSF6	WWP1
FRMD6	TSC22D4
COX17	KATNAL1
VCL	ABI2
APEH	APEH
FASN	EWSR1
KLHL12	MED28
PPP2CA	TRIP13
HGS	GKAP1
ARIH2	UGP2
TRIM32	UBQLN1
STAM2	DAZAP2
UBE2I	SATB1
TRIM37	FXR2
CNTFR	APPBP2
PLSCR1	YIPF3
SPRY2	GPRIN2
NFIC	ZCCHC14
TRIP6	POM121
PIN1	RAI1
FXR2	PSME3
TFF1	UBQLN1
EWSR1	PRUNE2
KXD1	EXOC7
EFEMP2	PLSCR4
WWP2	EWSR1
ABLIM1	GOLGA2
PSMC4	PSMC5
SET	THAP7
CBLB	GORASP2
CIAO1	CIAO2B
CBLB	CRY1
PPFIBP2	TSG101
SFN	PLEKHF2
KAT7	HOOK2
ABLIM1	BEGAIN
ZBED1	NIF3L1
EPS8	CCDC85B
SAT1	FTSJ3
TRIM23	GEM
RNF8	CEP44
FXR2	PCBD1
RAI1	TESC
FXR2	AP2M1
APPBP2	MUL1
MBIP	MBIP
TRIP13	ASB13
LRCH4	RTN4
CALCOCO2	CCDC33
TRIP13	TRIP13
IFT20	EXOC7
DAZAP2	POLI
NDUFB1	EWSR1
TRIM27	FBF1
MLH1	AP2B1
MAD2L1BP	TRIP13
XIAP	DYNLL2
PSMA1	CALCOCO2
PEX5	SIRT3
PRPF3	CCDC85B
ZNF250	GOLGA2
BNIP3L	EWSR1
UBE2I	NUDCD3
HSPA2	HSPBP1
H3-3B	EHMT2
PIN1	GGA2
CCDC85B	COPS4
RAB3IL1	RAB3IL1
PNKP	MYOZ1
TRIM27	ZBTB16
PACSIN2	PACSIN2
AP2B1	AP1M1
PLSCR1	PHLDA1
EWSR1	NSUN4
JUP	BIRC2
CFL1	ACTG1
VTA1	RABAC1
CCDC85B	FBF1
PCM1	ING5
BAHD1	BEGAIN
DUT	SPATA2
GLRX3	NADK
EWSR1	KRR1
FXR2	MEAF6
CCDC85B	THAP7
PTBP1	CALCOCO2
CCDC85B	MEAF6
CUTC	PIM2
PSMF1	MIEF2
SNRPA	PTBP1
ZBED1	TRAPPC2B
MLH1	TRIM29
PSMF1	HOOK2
CALCOCO2	RABL6
PLSCR1	SF1
CDC42EP4	WDR6
SS18L1	SF3B4
ACTG1	ACTG1
LDB1	SSBP4
LMO2	STAT1
MCRS1	CEP44
TRIP13	CYB5R2
DVL2	AP2M1
PLSCR1	CCDC33
CALCOCO2	CPNE7
PSMC6	CCDC85B
PCM1	ECPAS
MIF	GORASP2
NME4	NME1
EWSR1	WWP1
SNRPA	TRIR
FXR2	CCDC85B
PRRC2B	EHMT2
DRAP1	POLE3
SGTA	SRGN
ZNF638	KIFBP
AP2B1	MEA1
NUP62	XPO6
EIF3K	EIF3L
VAMP4	STX4
LDOC1	ATF4
DPY30	ASH2L
FANCG	GABPB1
GYG1	POM121
HGS	EHMT2
AKAP17A	NINL
U2AF2	CHIC2
NIF3L1	NIF3L1
PLSCR1	VSIR
SNAP23	ABI2
TRIP13	STAMBPL1
EWSR1	RMND5B
CCDC85B	BEX2
PLSCR1	EFEMP2
LPXN	PHF21A
RAB11A	RAB3IL1
ZBED1	GPN1
SAT1	TCF25
ACTB	DSTN
TRIP13	HDHD3
ZFP36L1	MAPK14
UTP14A	NINL
CCDC85B	CHCHD3
KCTD13	VTA1
AIMP2	KARS1
DVL2	MCRS1
TRIP13	GPSM1
SRSF6	RNPS1
MAPK9	CEP44
CCNB1IP1	CCNB1IP1
